label_action;tag_action;tag_operator;crm_case_subject;crm_case_category;crm_case_reason;active;Creation Case Auto
Suspension Totale;crt_n2_opts_SUSPT_suppression;SONATEL;Gestion;GESTION-SIM;GEST-SIM-DEMANDE DE SUSPENSION TOTALE;true;true
Suspension Arnaque;crt_n2_opts_SUSTA_suppression;SONATEL;Gestion;GESTION-SIM;GEST-SIM-DEMANDE DE SUSPENSION TOTALE;true;true
Suspension Routage Annonce;crt_n2_opts_SUSPRA_suppression;SONATEL;Gestion;GESTION-SIM;GEST-SIM-DEMANDE DE SUSPENSION TOTALE;true;true
VISIOPHONIE;crt_n2_opts_VISIO_suppression;SONATEL;;;;true;true
Wax ba tass;crt_n2_opts_WBT_suppression;SONATEL;;;;true;true
YieldZone;crt_n2_opts_YZ_suppression;SONATEL;;;;true;true
Service 3G;crt_n2_opts_SVC_3G_activer;SONATEL;Gestion;GEST-ACTIVATION SERVICE;GEST-ACT-ACTIVATION SERVICE;true;true
Appel Video;crt_n2_opts_SVC_3GVISIO_activer;SONATEL;;;;true;true
Service Anti Bill Shock (ABS);crt_n2_opts_SVC_ABS_activer;SONATEL;;;;true;true
Service Basic Data;crt_n2_opts_SVC_BDATA_activer;SONATEL;Gestion;GEST-ACTIVATION SERVICE;GEST-ACT-ACTIVATION SERVICE;true;true
Telephonie de base;crt_n2_opts_SVC_BTEL_activer;SONATEL;Gestion;GEST-ACTIVATION SERVICE;GEST-ACT-ACTIVATION SERVICE;true;true
Renvoi si ligne occupee;crt_n2_opts_SVC_CFBUSY_activer;SONATEL;Gestion;GEST-ACTIVATION SERVICE;GEST-ACT-ACTIVATION SERVICE;true;true
Renvoi si non accessible;crt_n2_opts_SVC_CFNREACH_activer;SONATEL;Gestion;GEST-ACTIVATION SERVICE;GEST-ACT-ACTIVATION SERVICE;true;true
Renvoi si pas de reponse;crt_n2_opts_SVC_CFNREPLY_activer;SONATEL;Gestion;GEST-ACTIVATION SERVICE;GEST-ACT-ACTIVATION SERVICE;true;true
Renvoi d'appel inconditionnel;crt_n2_opts_SVC_CFUNCOND_activer;SONATEL;Gestion;GEST-ACTIVATION SERVICE;GEST-ACT-ACTIVATION SERVICE;true;true
Appel en attente;crt_n2_opts_SVC_CHS_activer;SONATEL;Gestion;GEST-ACTIVATION SERVICE;GEST-ACT-ACTIVATION SERVICE;true;true
