"sujet";"categorie";"motif"
Achat;ACHAT-INFORMATIONS;ACH-INF-DEMANDE INFO SMS 
Achat;ACHAT-INFORMATIONS;ACH-INF-DEMANDE NUMERO FIXE OU IDENTIFIANTS ET MDP
Achat;ACHAT-INFORMATIONS;ACH-INF-FACE ID / TOUCHE ID
Achat;ACHAT-INFORMATIONS;ACH-INF-FACE ID / TOUCHE ID
Achat;ACHAT-INFORMATIONS;ACH-INF-HORAIRE AGENCE ET BOUTIQUE ET LOCALISATION
Achat;ACHAT-INFORMATIONS;ACH-INF-HORAIRES AGENCE SONATEL & BOUTIQUE, LOCALISATION
Achat;ACHAT-INFORMATIONS;ACH-INF-INFO SUR OFFRES EXISTANTES
Achat;ACHAT-INFORMATIONS;ACH-INF-INFOS SUR CESSION
Achat;ACHAT-INFORMATIONS;ACH-INF-INFOS SUR DENUMEROTATION
Achat;ACHAT-INFORMATIONS;ACH-INF-METHODES DE VENTE PAR USSD/E-RECHARGES/SMS
Achat;ACHAT-INFORMATIONS;ACH-INF-METHODES DE VENTE PAR USSD/E-RECHARGES/SMS
Achat;ACHAT-INFORMATIONS;ACH-INF-MODALITE AJOUT DE PRISE SUPPLEMENTAIRE
Achat;ACHAT-INFORMATIONS;ACH-INF-MODALITE DEMANDE DE SUSPENSION
Achat;ACHAT-INFORMATIONS;ACH-INF-MODALITE DEMANDE TRANSFERT
Achat;ACHAT-INFORMATIONS;ACH-INF-MODALITE MIGRATION
Achat;ACHAT-INFORMATIONS;ACH-INF-MODALITE MODIFICATION D'INSTALLATION
Achat;ACHAT-INFORMATIONS;ACH-INF-MODALITE RAJOUT TVO
Achat;ACHAT-INFORMATIONS;ACH-INF-MODALITE RECONDUCTION
Achat;ACHAT-INFORMATIONS;ACH-INF-MODALITE RESILIATION
Achat;ACHAT-INFORMATIONS;ACH-INF-MODALITE SUSPENSION PROVISOIRE
Achat;ACHAT-INFORMATIONS;ACH-INF-NRJ-HORAIRES AGENCE SONATEL & BOUTIQUE, LOCALISATION
Achat;ACHAT-INFORMATIONS;ACH-INF-NRJ-NOTIFICATION RECUE
Achat;ACHAT-INFORMATIONS;ACH-INF-NRJ-OFFRES
Achat;ACHAT-INFORMATIONS;ACH-INF-OFFRE
Achat;ACHAT-INFORMATIONS;ACH-INF-PORTABILITE
Achat;ACHAT-INFORMATIONS;ACH-INF-PUSH _PHONING_MAILING_AUTRES
Achat;ACHAT-INFORMATIONS;ACH-INF-PUSH, PHONING, MAILING
Achat;ACHAT-INFORMATIONS;ACH-INF-RECHARGEMENT CRÉDIT
Achat;ACHAT-INFORMATIONS;ACH-INF-REC-RECHARGEMENT CRÉDIT
Achat;ACHAT-INFORMATIONS;ACH-INF-Refonte BOX_Demande d'info évolution catalogue BOX
Achat;ACHAT-INFORMATIONS;ACH-INF-RENSEIGNEMENT TELEPHONIQUE NUMERO INJOIGNABLE
Achat;ACHAT-INFORMATIONS;ACH-INF-SEDDO-DEMANDE D'INFO NOMAD
Achat;ACHAT-INFORMATIONS;ACH-INF-TRANSFERT PASS
Achat;ACHAT-INFORMATIONS;ACH-INF-TRANSFERT PASS
Achat;ACHAT-INFORMATIONS_ORANGE ENERGIE;ACH-INF-APPEL INTERROMPU SANS MOTIFS/Numéro de compte/ Identité client_ORANGE ENERGIE
Achat;ACHAT-INFORMATIONS_ORANGE ENERGIE;ACH-INF-APPELS COLLABORATEURS ( Vto , technicien) _ORANGE ENERGIE
Achat;ACHAT-INFORMATIONS_ORANGE ENERGIE;ACH-INF-APPELS COLLABORATEURS ( Vto , technicien)_ORANGE ENERGIE
Achat;ACHAT-INFORMATIONS_ORANGE ENERGIE;ACH-INF-APPELS DESTINES A D'AUTRES CENTRES_ORANGE ENERGIE
Achat;ACHAT-INFORMATIONS_ORANGE ENERGIE;ACH-INF-APPELS DESTINES A D'AUTRES CENTRES_ORANGE ENERGIE
Achat;ACHAT-INFORMATIONS_ORANGE ENERGIE;ACH-INF-CLIENT NE PARLE QUE PULAR_ORANGE ENERGIE
Achat;ACHAT-INFORMATIONS_ORANGE ENERGIE;ACH-INF-CONDITION D’ACHAT _ORANGE ENERGIE
